iter	Passed	Remaining
0	38	23006
1	72	21826
2	107	21485
3	143	21340
4	173	20590
5	203	20177
6	232	19689
7	261	19315
8	289	19032
9	318	18808
10	348	18683
11	381	18689
12	413	18657
13	442	18517
14	471	18386
15	500	18254
16	528	18129
17	556	17996
18	585	17915
19	618	17949
20	648	17891
21	677	17800
22	705	17698
23	732	17586
24	760	17498
25	790	17442
26	820	17415
27	851	17400
28	879	17321
29	910	17293
30	938	17219
31	965	17135
32	995	17096
33	1023	17035
34	1053	17010
35	1081	16938
36	1108	16870
37	1136	16803
38	1165	16759
39	1196	16749
40	1227	16736
41	1260	16746
42	1316	17048
43	1361	17200
44	1404	17325
45	1442	17369
46	1477	17380
47	1510	17368
48	1545	17378
49	1576	17336
50	1606	17293
51	1636	17242
52	1664	17180
53	1692	17116
54	1720	17047
55	1749	16992
56	1776	16928
57	1805	16869
58	1831	16798
59	1860	16746
60	1889	16695
61	1916	16627
62	1945	16579
63	1973	16529
64	2001	16475
65	2028	16412
66	2055	16350
67	2085	16314
68	2118	16303
69	2148	16268
70	2176	16216
71	2203	16160
72	2230	16104
73	2258	16050
74	2289	16024
75	2320	15998
76	2353	15984
77	2385	15964
78	2412	15909
79	2447	15906
80	2478	15881
81	2509	15855
82	2539	15819
83	2568	15777
84	2596	15729
85	2623	15678
86	2651	15633
87	2678	15581
88	2705	15534
89	2732	15484
90	2761	15443
91	2786	15388
92	2814	15343
93	2846	15323
94	2877	15296
95	2905	15255
96	2933	15210
97	2960	15165
98	2987	15120
99	3014	15073
100	3042	15030
101	3070	14993
102	3100	14960
103	3128	14921
104	3156	14881
105	3185	14843
106	3214	14809
107	3242	14773
108	3270	14732
109	3299	14697
110	3327	14657
111	3353	14610
112	3381	14573
113	3413	14550
114	3444	14526
115	3474	14498
116	3506	14476
117	3533	14432
118	3562	14401
119	3596	14384
120	3626	14355
121	3654	14316
122	3680	14274
123	3708	14234
124	3736	14199
125	3765	14164
126	3797	14142
127	3826	14110
128	3856	14081
129	3884	14044
130	3912	14007
131	3940	13969
132	3968	13934
133	3996	13897
134	4023	13858
135	4050	13820
136	4078	13783
137	4106	13746
138	4133	13707
139	4160	13670
140	4187	13633
141	4214	13593
142	4242	13558
143	4271	13526
144	4307	13517
145	4343	13507
146	4377	13489
147	4412	13477
148	4449	13468
149	4488	13464
150	4526	13458
151	4562	13447
152	4596	13430
153	4627	13402
154	4661	13381
155	4692	13354
156	4722	13326
157	4752	13293
158	4781	13261
159	4810	13228
160	4839	13196
161	4867	13160
162	4895	13124
163	4926	13097
164	4954	13062
165	4982	13026
166	5010	12991
167	5024	12920
168	5052	12885
169	5079	12849
170	5107	12812
171	5135	12779
172	5198	12830
173	5238	12825
174	5277	12816
175	5315	12806
176	5350	12787
177	5379	12752
178	5409	12723
179	5441	12695
180	5471	12665
181	5503	12640
182	5537	12617
183	5569	12591
184	5598	12559
185	5627	12524
186	5655	12489
187	5683	12455
188	5717	12434
189	5749	12406
190	5780	12379
191	5808	12343
192	5836	12308
193	5865	12275
194	5893	12239
195	5921	12204
196	5952	12175
197	5982	12146
198	6011	12114
199	6039	12079
200	6067	12043
201	6094	12008
202	6122	11973
203	6151	11940
204	6179	11906
205	6206	11871
206	6234	11836
207	6262	11802
208	6290	11767
209	6318	11733
210	6347	11702
211	6375	11667
212	6401	11630
213	6430	11598
214	6458	11564
215	6486	11530
216	6513	11496
217	6542	11464
218	6574	11438
219	6603	11406
220	6631	11372
221	6663	11346
222	6695	11319
223	6723	11286
224	6751	11252
225	6779	11219
226	6806	11184
227	6835	11152
228	6869	11129
229	6903	11104
230	6931	11072
231	6960	11041
232	6989	11008
233	7017	10975
234	7045	10943
235	7073	10910
236	7101	10876
237	7126	10840
238	7154	10806
239	7182	10773
240	7209	10739
241	7237	10706
242	7264	10672
243	7292	10639
244	7320	10606
245	7349	10575
246	7381	10549
247	7411	10519
248	7440	10487
249	7466	10453
250	7494	10420
251	7521	10387
252	7552	10358
253	7580	10326
254	7609	10295
255	7637	10263
256	7666	10231
257	7695	10200
258	7723	10168
259	7749	10134
260	7777	10102
